Vault ID,Year,University,School,Degree,Employment Rate Overall,Employment Rate FT Perm,Basic Monthly Mean,Basic Monthly Median,Gross Monthly Mean,Gross Monthly Median,Gross Monthly 25th Percentile,Gross Monthly 75th Percentile
571,2018,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,94.6,92.2,3214,3000,3245,3000,3000,3200
572,2018,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,99.2,97.7,4391,4000,4456,4000,3600,4633
573,2018,Nanyang Technological University,College of Business (Nanyang Business School),Business,92.6,84.3,3646,3500,3776,3500,3200,4000
574,2018,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing ^,100,100,4536,4450,4572,4575,4200,4900
575,2018,Nanyang Technological University,College of Engineering,Aerospace Engineering,95.3,88.4,3710,3625,3873,3800,3365,4280
576,2018,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,na,na,na,na,na,na,na,na
577,2018,Nanyang Technological University,College of Engineering,Bioengineering,77.5,66.2,3457,3500,3660,3500,3200,4000
578,2018,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,na,na,na,na,na,na,na,na
579,2018,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering,91.6,86,3461,3500,3782,3600,3300,4200
580,2018,Nanyang Technological University,College of Engineering,Chemical & Biomolecular Engineering and Economics **,na,na,na,na,na,na,na,na
581,2018,Nanyang Technological University,College of Engineering,Civil Engineering,96.5,96.5,3521,3400,3597,3500,3200,3816
582,2018,Nanyang Technological University,College of Engineering,Computer Engineering,95.8,95.8,3749,3700,3865,3775,3400,4200
583,2018,Nanyang Technological University,College of Engineering,Computer Engineering and Economics **,na,na,na,na,na,na,na,na
584,2018,Nanyang Technological University,College of Engineering,Computer Science,94.4,93,3970,3800,4062,4000,3500,4500
585,2018,Nanyang Technological University,College of Engineering,Electrical & Electronic Engineering,92.7,91,3625,3500,3772,3600,3323,4000
586,2018,Nanyang Technological University,College of Engineering,Environmental Engineering,92.1,81.6,3388,3360,3485,3400,3000,3500
587,2018,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics **,na,na,na,na,na,na,na,na
588,2018,Nanyang Technological University,College of Engineering,Information Engineering & Media,93.2,89,3724,3725,3800,3750,3500,4140
589,2018,Nanyang Technological University,College of Engineering,Maritime Studies,93.3,90,3351,3300,3409,3350,3000,3640
590,2018,Nanyang Technological University,College of Engineering,Materials Engineering,86.5,81.9,3457,3400,3650,3500,3200,4000
591,2018,Nanyang Technological University,College of Engineering,Mechanical Engineering,85.6,81.1,3448,3500,3653,3500,3200,4000
592,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",85.7,53.8,2930,2800,2986,3000,2600,3300
593,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,86.4,76.3,3149,3150,3260,3500,3000,3518
594,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,95,84.2,3085,3000,3166,3000,2750,3500
595,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,90.1,84,3604,3500,3755,3536,3200,3959
596,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,81.6,59.2,3051,3000,3124,3000,2600,3500
597,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,74.4,56.4,3593,3500,3719,3500,3260,4150
598,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics & Multilingual Studies,79.2,45.8,3074,3200,3091,3200,2900,3500
599,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Philosophy,80,76,3031,3000,3126,3000,2550,3500
600,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,90.1,78,3316,3300,3355,3370,3000,3684
601,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy and Global Affairs,80.6,71,3501,3350,3619,3350,3050,4018
602,2018,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,80.2,60.4,3275,3175,3374,3220,3000,3841
603,2018,Nanyang Technological University,College of Sciences,Biological Sciences,80.1,67,3232,3200,3319,3250,3035,3650
604,2018,Nanyang Technological University,College of Sciences,Biomedical Sciences **,na,na,na,na,na,na,na,na
605,2018,Nanyang Technological University,College of Sciences,Biomedical Sciences & Chinese Medicine # ^,90.9,81.8,2941,3000,2953,3000,2700,3100
606,2018,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,77.6,63.9,3205,3167,3427,3200,3000,3725
607,2018,Nanyang Technological University,College of Sciences,Environmental Earth Systems Sciences ^,76.2,57.1,3347,3440,3389,3440,3150,3900
608,2018,Nanyang Technological University,College of Sciences,Mathematical Sciences,87.1,75.9,3661,3600,3744,3650,3360,4000
609,2018,Nanyang Technological University,College of Sciences,Mathematics & Economics,96.3,83.3,3481,3500,3569,3600,3200,4000
610,2018,Nanyang Technological University,College of Sciences,Physics & Applied Physics,80.2,74.1,3468,3300,3576,3400,3025,3800
611,2018,Nanyang Technological University,National Institute of Education (NIE),Arts (With Education),100,99.2,3618,3750,3751,3800,3600,3806
612,2018,Nanyang Technological University,National Institute of Education (NIE),Science (With Education),100,100,3600,3800,3738,3800,3600,4000
613,2018,Nanyang Technological University,Sports Science and Management,Sport Science and Management,87,61.1,3172,3200,3382,3300,3000,3600
614,2018,Nanyang Technological University,Lee Kong Chian School of Medicine,Medicine ##,na,na,na,na,na,na,na,na
615,2018,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,83.7,56.6,3169,3070,3322,3200,2800,3600
616,2018,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),87.5,60.8,3290,3300,3377,3300,3000,3600
617,2018,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.2,74.5,3459,3400,3526,3400,3200,3800
618,2018,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,100,100,4148,4050,4228,4050,4000,4450
619,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),79.4,69.8,3357,3300,3444,3389,3280,3650
620,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),89.9,84.1,3768,3700,4050,4000,3500,4300
621,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),91.8,89.8,3520,3500,3627,3500,3300,3900
622,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),91,83.4,3712,3600,3982,3700,3400,4546
623,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science) **,na,na,na,na,na,na,na,na
624,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),88.9,74.6,3411,3300,3518,3400,3000,3868
625,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),91.5,87.8,3889,3800,4051,3895,3600,4500
626,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),88.6,86.4,3550,3600,3794,3600,3500,4305
627,2018,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),92.8,86.9,3684,3500,3877,3700,3300,4100
628,2018,National University of Singapore,Faculty of Law,Bachelor of Laws #,97.3,92.6,5070,5000,5263,5500,4500,5840
629,2018,National University of Singapore,Faculty of Science,Bachelor of Science,81.6,47.2,3146,3000,3289,3100,2900,3850
630,2018,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),87.3,72.8,3371,3300,3460,3400,3000,3725
631,2018,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na,na,na,na,na
632,2018,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) #,96.6,93.2,3549,3500,3723,3650,3500,3900
633,2018,National University of Singapore,NUS Business School,Bachelor of Business Administration,95.7,84.8,3633,3150,3732,3225,3000,3750
634,2018,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),96.6,90.9,4286,3800,4424,3895,3300,4748
