Vault ID,Year,University,School,Degree,Employment Rate Overall,Employment Rate FT Perm,Basic Monthly Mean,Basic Monthly Median,Gross Monthly Mean,Gross Monthly Median,Gross Monthly 25th Percentile,Gross Monthly 75th Percentile
848,2020,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,96,88.7,3213,3000,3228,3000,3000,3100
849,2020,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,97.6,91.3,4615,4327,4704,4405,3500,5000
850,2020,Nanyang Technological University,College of Business (Nanyang Business School),Business,95.2,66.8,3973,3750,4113,3800,3300,4429
851,2020,Nanyang Technological University,College of Business (Nanyang Business School),Double Degree in Business and Computer Engineering/Computing,97.4,97.4,5216,5200,5537,5400,5000,5750
852,2020,Nanyang Technological University,College of Engineering,Aerospace Engineering,91.2,75.8,4110,3980,4284,4000,3800,4945
853,2020,Nanyang Technological University,College of Engineering,Bioengineering,89.1,43.6,3428,3400,3473,3450,3200,3800
854,2020,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,95,83,3732,3600,3948,3900,3500,4300
855,2020,Nanyang Technological University,College of Engineering,Civil Engineering,95.7,87,3458,3400,3495,3500,3200,3800
856,2020,Nanyang Technological University,College of Engineering,Computer Engineering,97.2,94.4,4069,4100,4136,4100,3627,4845
857,2020,Nanyang Technological University,College of Engineering,Computer Science,92.2,86.1,4508,4250,4558,4300,3880,5000
858,2020,Nanyang Technological University,College of Engineering,Double Degree in Engineering and Economics ^,100,94.1,4459,4450,4516,4450,3825,5050
859,2020,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,94.5,75.1,3925,3800,4004,3880,3500,4370
860,2020,Nanyang Technological University,College of Engineering,Environmental Engineering,90.2,58.5,3364,3375,3444,3450,3200,3800
861,2020,Nanyang Technological University,College of Engineering,Information Engineering and Media,96,70,4085,4000,4208,4000,3500,4500
862,2020,Nanyang Technological University,College of Engineering,Maritime Studies,90.8,78.5,3608,3500,3646,3500,3300,3875
863,2020,Nanyang Technological University,College of Engineering,Materials Engineering,91.5,69,3613,3600,3755,3700,3500,4000
864,2020,Nanyang Technological University,College of Engineering,Mechanical Engineering,91.7,67.5,3861,3700,3977,3850,3500,4432
865,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design and Media",90.4,35.7,2858,2800,2925,2800,2500,3300
866,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,83.8,63.5,3251,3350,3310,3500,3000,3500
867,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,94.9,66.7,3378,3300,3440,3340,3000,3800
868,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,91.8,63.5,3756,3700,3926,3797,3400,4050
869,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,90.9,43.2,3507,3450,3561,3450,3128,3900
870,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,87.2,44.7,3558,3575,3644,3650,3250,4025
871,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Inter-Disciplinary Double Major ^,95.8,50,3608,3300,3797,3854,3200,4500
872,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,96.6,63.8,3371,3300,3472,3350,3000,3900
873,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Philosophy,96.3,70.4,3417,3300,3580,3650,3300,3850
874,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,83.8,53.5,3315,3200,3433,3300,3100,3650
875,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy and Global Affairs,92.5,67.5,3989,3710,4043,3800,3500,4583
876,2020,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,95.4,66.2,3529,3500,3598,3600,3300,3800
877,2020,Nanyang Technological University,College of Science,Biological Sciences,88.9,56.7,3319,3300,3401,3325,3200,3650
878,2020,Nanyang Technological University,College of Science,Biomedical Sciences and Chinese Medicine # ^,94.7,84.2,2950,3000,2969,3000,2800,3150
879,2020,Nanyang Technological University,College of Science,Chemistry and Biological Chemistry,91.9,45.6,3230,3200,3345,3245,3000,3635
880,2020,Nanyang Technological University,College of Science,Environmental Earth Systems Sciences ^,95.5,63.6,3637,3550,3657,3550,3400,3764
881,2020,Nanyang Technological University,College of Science,Mathematical Sciences,92.4,68.9,3746,3600,3823,3656,3300,4250
882,2020,Nanyang Technological University,College of Science,Mathematics and Economics,87.1,55.7,3849,3832,3949,3832,3500,4300
883,2020,Nanyang Technological University,College of Science,Physics and Applied Physics,92.6,48.5,3643,3600,3719,3700,3500,3850
884,2020,Nanyang Technological University,Sports Science and Management,Sports Science and Management,91.5,52.5,3494,3240,3661,3300,3000,4200
