Vault ID,Year,University,School,Degree,Employment Rate Overall,Employment Rate FT Perm,Basic Monthly Mean,Basic Monthly Median,Gross Monthly Mean,Gross Monthly Median,Gross Monthly 25th Percentile,Gross Monthly 75th Percentile
318,2016,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,97.3,95.1,3027,2900,3063,2900,2900,3100
319,2016,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,97.4,96.6,3836,3500,3893,3500,3100,4250
320,2016,Nanyang Technological University,College of Business (Nanyang Business School),Business,89.6,77.1,3348,3200,3444,3300,3000,3800
321,2016,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,94.4,94.4,4232,4000,4407,4600,3800,5000
322,2016,Nanyang Technological University,College of Engineering,Aerospace Engineering,82.4,77.9,3761,3625,3840,3675,3350,4435
323,2016,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,na,na,na,na,na,na,na,na
324,2016,Nanyang Technological University,College of Engineering,Bioengineering,77.8,63.9,3151,3200,3317,3237,3000,3510
325,2016,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,na,na,na,na,na,na,na,na
326,2016,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering,80.6,72.6,3336,3225,3476,3400,3200,3800
327,2016,Nanyang Technological University,College of Engineering,Civil Engineering,92.4,91.6,3407,3250,3505,3300,3200,3800
328,2016,Nanyang Technological University,College of Engineering,Computer Engineering,83.3,75.9,3792,3500,3833,3500,3300,4420
329,2016,Nanyang Technological University,College of Engineering,Computer Science,94.6,91.4,3784,3500,3848,3500,3300,4333
330,2016,Nanyang Technological University,College of Engineering,Electrical And Electronic Engineering,89.1,83.6,3443,3300,3517,3400,3190,3800
331,2016,Nanyang Technological University,College of Engineering,Environmental Engineering,80.6,74.2,3156,3100,3216,3100,2800,3400
332,2016,Nanyang Technological University,College of Engineering,Information Engineering And Media,94.6,87.5,3496,3350,3570,3350,3000,4000
333,2016,Nanyang Technological University,College of Engineering,Maritime Studies,94.2,88.5,3305,3300,3328,3398,3083,3500
334,2016,Nanyang Technological University,College of Engineering,Materials Engineering,81.3,73.5,3197,3200,3317,3300,3000,3500
335,2016,Nanyang Technological University,College of Engineering,Materials Engineering and Economics **,na,na,na,na,na,na,na,na
336,2016,Nanyang Technological University,College of Engineering,Mechanical Engineering,86,79.9,3417,3300,3505,3350,3050,3959
337,2016,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics **,na,na,na,na,na,na,na,na
338,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",79.7,46.6,2718,2700,2761,2700,2500,3000
339,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,91.1,74.7,3239,3300,3345,3300,3050,3500
340,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,87.7,69.6,2938,2900,2996,3000,2575,3365
341,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,91.3,79.3,3385,3300,3440,3300,3000,3850
342,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,75,54.2,2974,3000,2997,3000,2700,3400
343,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,87.2,76.6,3027,3000,3082,3000,2700,3500
344,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,81.8,61.8,3283,3315,3368,3365,2960,3500
345,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,82.1,66.7,3083,3100,3136,3200,2800,3500
346,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy And Global Affairs **,na,na,na,na,na,na,na,na
347,2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,86.1,63.9,3279,3300,3480,3500,3000,3850
